"カテゴリ","ワークストリーム","項目","受入基準","参照元","typeck-debug","effects-metrics"
"Typed AST","型推論","W3 dual-write typed-ast/constraint スナップショット（成果物: reports/dual-write/front-end/w3-type-inference/*）","`typed-ast.{ocaml,rust}.json` / `constraints.{ocaml,rust}.json` / `typeck.diff.json` が全て一致し、`typeck_metrics.match=true`（`ffi_dispatch_async` だけ Rust typed function 集計待ち）；✅ 2027-01-17: 4/5 ケースで達成","docs/plans/rust-migration/appendix/w3-typeck-dualwrite-plan.md / docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#W3-TYPECK-ffi-dispatch-async","",""
"制約ソルバ","型推論","Impl Registry の順序保証と determinism","`impl-registry.{ocaml,rust}.json` の `entries` 配列が完全一致し、`collect-iterator-audit-metrics.py --section effects` で `effects.impl_resolve.delta` が±0.5pt 以内","docs/plans/rust-migration/appendix/w3-typeck-dualwrite-plan.md#2-制約生成とソルバ移植の粒度","",""
"診断","型推論","effects-metrics / typeck-debug の整合（W3 拡張）","`effects-metrics.{ocaml,rust}.json` で `delta=0`、`typeck-debug.{ocaml,rust}.json` に記録した `diagnostic_code`/`ocaml_exception` が一致し `scripts/validate-diagnostic-json.sh` が通過","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-11-型推論起因診断の比較手順-w3-拡張","20280602-w4-diag-type-condition-r2: ✅ `type_condition_{bool,literal_bool}` の dual-write で `typeck/typeck-debug.{ocaml,rust}.json` を生成し `typeck_requirements.ok=true`（`summary.json` の `typeck_debug_exists`/`effect_context_present` まで確認済み）。20280601-w4-diag-type-effect-rust-typeck-r7: ❌ `effect_residual_leak/typeck/typeck-debug.ocaml.json` と `ffi_*` 3 ケースの OCaml 成果物が欠落し `typeck_debug_match < 1.0`（`collect-iterator-audit-metrics.py --section effects --source <case>/diagnostics.rust.json` が失敗）→ `typeck_output.emit_debug_only` 再実行と CLI 再測定が必要","20280602-w4-diag-type-condition-r2: ✅ `effects-metrics.{ocaml,rust}.json` + `extensions.effects.residual` を保存し、`collect-iterator-audit-metrics.py --section parser|effects --require-success` が無エラー（`parser.expected_pass_fraction=1.0` / `metrics_ok=true`）。20280601-w4-diag-type-effect-rust-typeck-r7: ❌ `effect_residual_leak` と `ffi_{ownership_mismatch,stage_messagebox}` で `metrics_ok=false`（Rust recover 2〜43 件が `expected_tokens.diff.json` に残留、`parser.expected_summary_presence < 0.1`）→ `TypeEffectRecoverLimiter` / `ExpectedTokenCollector` の実装待ち"
"診断","CLI/LSP RunConfig","Rust CLI/LSP RunConfig 実装と diag 再測定（20290429）","`scripts/poc_dualwrite_compare.sh --mode diag --run-id 20290429-w4-diag-cli-lsp --cases docs/plans/rust-migration/appendix/w4-diagnostic-cases-cli-lsp.txt` で RunConfig メトリクスを取得し、`parser.runconfig_switch_coverage` / `extensions.config.*` を収集した。CLI 側の `diagnostics.ocaml.json` は空で `diag_match=false`、LSP ケースは `effects-metrics.rust.err.log` に `bridge_stage.audit_presence < 1.0` を記録して `metrics_ok=false`。`npm run ci --prefix tooling/lsp/tests/client_compat -- diag-w4 20290429-w4-diag-cli-lsp` と `tooling/lsp/tests/client_compat/scripts/report-fixture-diff.mjs` で `reports/dual-write/front-end/w4-diagnostics/20290429-w4-diag-cli-lsp/lsp/<case>.diff` を生成しながら `TODO: DIAG-RUST-07` を継続追跡する。","reports/dual-write/front-end/w4-diagnostics/20290429-w4-diag-cli-lsp/summary.md; reports/dual-write/front-end/w4-diagnostics/20290429-w4-diag-cli-lsp/lsp/; docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-17-cli-lsp-runconfig-整合diag-rust-07; docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#TODO:-diag-rust-07","20290429-w4-diag-cli-lsp: parser.runconfig_switch_coverage=0/0 (OCaml diag missing)","20290429-w4-diag-cli-lsp: bridge_stage.audit_presence < 1.0 in effects-metrics.rust.err.log (cli_*/lsp_*)"
"診断","Parser Recover","DIAG-RUST-01: Recover `expected_tokens` / 診断件数パリティ","`scripts/poc_dualwrite_compare.sh --mode diag --emit-expected-tokens <dir> --case-filter '^recover_(else_without_if|lambda_body)$'` で Run を作成し、`expected_tokens.{ocaml,rust}.json` が一致（`expected_tokens.diff.json` 空）・`summary.json.expected_tokens_match=true`・`diag_match=true`。`collect-iterator-audit-metrics.py --section parser --require-success` が `diag_counts.ocaml=diag_counts.rust=1` と `parser.expected_summary_presence=1.0` を記録し、`parser-metrics.*.err.log` に警告が出ない；✅ 2028-02-09: Run `20280209-w4-diag-recover-r2` で `recover_lambda_body` の `diag_counts`/`metrics_ok` が 1.0 へ揃ったことを `summary.md:15` と `parser-metrics.rust.json:22-44,571-587` で確認；✅ 2028-02-10: Run `20280210-w4-diag-recover-else-r4` で `recover_else_without_if` の `expected_tokens` 27 件が一致（`expected_tokens.diff.json:match=true`）し、`parser-metrics.rust.json:22-44` でも `parser.expected_summary_presence=1.0` を確認。","reports/dual-write/front-end/w4-diagnostics/README.md#diag-rust-01parser-recover対応計画; docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#TODO:-DIAG-RUST-01; docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-15-recover-ケース-expected_tokens--診断件数パリティ計画diag-rust-01; docs/plans/rust-migration/1-3-dual-write-runbook.md#手順-2c-診断互換diag-モード","",""
"ストリーミング","Lexer/Parser","Packrat キャッシュと span_trace の再現","`streaming_runner_tests.ml` ベースで `packrat_*` メトリクスが±5%以内","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-6-ストリーミング状態-core_parse_streaming","",""
"ストリーミング","診断","DIAG-RUST-05: Streaming diag メトリクス完備","`reports/dual-write/front-end/w4-diagnostics/<run>/stream_*` で Streaming 向け ExpectedTokenCollector の出力を通じ、`parser.stream_extension_field_coverage=1.0`・`parser.expected_summary_presence=1.0`・`diag_counts.ocaml=diag_counts.rust=1`・`expected_tokens.diff.json` 空を同時達成。`collect-iterator-audit-metrics.py --section parser|streaming` の `ExpectedTokenCollector.streaming` ゲートが pass し、`summary.json.metrics_ok=true` と `expected_tokens_match=true` を記録する。🆕 2025-05-14: `parser_expectation` / `core_parse_streaming` / Rust CLI / `scripts/poc_dualwrite_compare.sh` を更新し、Streaming ケースで `token` / `hint` 付き `expected.alternatives` と `expected_tokens/<case>.{ocaml,rust,diff}.json` を自動採取するよう統一。🆕 2029-05-10: Run `20290510-w4-diag-streaming-r12` を Streaming ケース専用セット（`tmp/w4-diagnostic-streaming-cases.txt`）で実行し、`collect-iterator-audit-metrics.py --section parser|streaming --require-success` が通過、`parser.stream_extension_field_coverage`/`ExpectedTokenCollector.streaming`/`diag_match` が完全一致。🆕 2029-05-31: Run `20290531-w4-diag-streaming-r16` で `compiler/ocaml/src/core_parse_streaming.ml:155` の `stream_config` 参照が `Unbound value` を引き起こし OCaml 診断が空になることを確認し、同ファイルで `stream_config` を関数先頭へ移動後に Run `20290531-w4-diag-streaming-r17` を再測定。3 ケースすべてで `diag_match=true`・`metrics_ok=true`・`expected_tokens_match=true`（`reports/dual-write/front-end/w4-diagnostics/20290531-w4-diag-streaming-r17/summary.md`）となったが、OCaml JSON が `extensions.parse` / `audit_metadata[parser.core.rule""]` をオブジェクト化できておらず `schema-validate.log` が `parser core metadata missing` を出力し続けているため `gating=false` が残存。✅ 2029-06-01: `diagnostic_serialization.ml` で `extensions.parse` / `audit_metadata[""parser.core.rule""]` を構造化プレースホルダへ補完し、Run `20290601-w4-diag-streaming-r21` ですべての Streaming ケースが `gating/schema/metrics` を満たしたことを確認（`reports/dual-write/front-end/w4-diagnostics/20290601-w4-diag-streaming-r21/summary.md`、`schema-validate.log` 空）。""","docs/plans/rust-migration/1-0-front-end-transition.md#W4-具体的な進め方診断互換試験;docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-14-w4-streaming--parser_expected_summary-再測定20280115","",""
"ストリーミング","Lexer/Parser","Reply 状態遷移の整合","`Core_parse.Reply` の `consumed/committed` が dual-write で一致","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-6-ストリーミング状態-core_parse_streaming","",""
"検証","共通","AST/Typed AST/Packrat の差分手順確立","検証パイプライン 4 ステップを dual-write ハーネスに組み込み","docs/plans/rust-migration/1-1-ast-and-ir-alignment.md#1-1-7-検証パイプライン","",""
"診断","診断","診断 JSON の Schema 一致","`scripts/validate-diagnostic-json.sh` が OCaml/Rust 双方で成功；✅ 2027-11-07: OCaml ゴールデン 10 件を `reports/dual-write/front-end/w4-diagnostics/baseline/README.md` で再検証。🆕 2027-11-09: `reports/dual-write/front-end/w4-diagnostics/20271107-w4-new/` で Rust 側の schema 検証ログを収集（`recover_*` は pass、`type_condition_bool` は OCaml 出力欠落のため schema skip → `DIAG-RUST-06`）。🆕 2027-11-12: `reports/dual-write/front-end/w4-diagnostics/20271112-w4-diag-m1/stream_pending_resume/schema-validate.log` が `diagnostics[0].expected` 欠落で失敗し、ケース固有フラグ未適用のまま `gating=false` が継続（`DIAG-RUST-05/07`）。🆕 2028-01-15: Run `20280115-w4-diag-refresh` の triage（`reports/dual-write/front-end/w4-diagnostics/20280115-w4-diag-refresh/triage.md`）で Streaming/CLI/LSP 18 ケースが `schema_ok=false` または CLI エラー（例: `cli_merge_warnings/diagnostics.ocaml.json` の `Error: no input file`、`stream_pending_resume/schema-validate.log` の `diagnostics[0].expected` 欠落）として再確認され、`DIAG-RUST-05/07` へ転送済み。","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-5-dual-write-検証フロー","",""
"診断","診断","type_condition_bool / literal の切り分け","`type_condition_bool` では OCaml 側 JSON が空（parser のみ実行）・Rust 側は `:` 未対応で recover 1 件→`DIAG-RUST-06`。`type_condition_literal_bool` をフォールバックケースに追加し、`scripts/poc_dualwrite_compare.sh --mode typeck` 経由で型診断を取得する運用を README/plan に記録。🆕 2027-11-12: `reports/dual-write/front-end/w4-diagnostics/20271112-w4-diag-m1/type_condition_bool/summary.json` でも OCaml `diag_count=0` / Rust `diag_count=1` のまま、型推論フラグ未注入が確認された。🆕 2028-01-15: `reports/dual-write/front-end/w4-diagnostics/20280115-w4-diag-refresh/type_condition_bool/summary.json` で diag 件数は一致したが、OCaml 側 `parser-metrics.ocaml.err.log` が `parser.expected_summary_presence: total=0` を報告しゲート未達、`type_condition_literal_bool` は Rust 側 diag=0 のままで `DIAG-RUST-06` 継続。🆕 2028-03-05: `w4-diagnostic-cases.txt` を Type/Effect/FFI 共通フラグ（`--experimental-effects --effect-stage beta --type-row-mode dual-write --emit-typeck-debug <dir>`）へ統一し、Rust 専用 `--emit-effects-metrics <dir>` と OCaml 側フォールバック（`scripts/poc_dualwrite_compare.sh` が `effects-metrics.ocaml.json` を `effects/` へ複製）で triage 18-24 行を再実行できるようにした。Run `20280305-w4-diag-effects` では `type_condition_bool` の `diag_match` まで回復した一方、`type_condition_literal_bool` は Rust 側 `rust_diag_count=0` のままである（`reports/dual-write/front-end/w4-diagnostics/20280305-w4-diag-effects/type_condition_literal_bool/summary.json`）。🆕 2028-04-18: Run `20280418-w4-diag-effects-r3` で `force_type_effect_flags` を有効化し、`effects/effects-metrics.{ocaml,rust}.json` と `typeck/typeck-debug.{ocaml,rust}.json` を diag モード成果物へ固定。`summary.json` の `diag_match`/`metrics_ok` は 7 ケース中 5 ケースで ✅ を記録し、残り 2 ケースの FFI Stage 欠落は `docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#TODO:-diag-rust-06` へリンク済み。🆕 2028-06-02: `tmp/type-condition-cases.txt` で `scripts/poc_dualwrite_compare.sh --mode diag --run-id 20280602-w4-diag-type-condition-r2 --force-type-effect-flags` を実行し、`collect-iterator-audit-metrics.py --section parser|effects --require-success` が無エラー・`parser.expected_pass_fraction=1.0` を報告、`typeck_requirements.ok=true` を初めて満たした。次は effect/ffi ケースへ同じメトリクス条件を拡張する。","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-13-diag-rust-06-typeeffectcapabilityffi-再実行ガイド;docs/plans/bootstrap-roadmap/2-7-deferred-remediation.md#todo-diag-rust-06","20280602-w4-diag-type-condition-r2（summary.gating=✅）","effects/effects-metrics.{ocaml,rust}.json 保存済み（type/effect ケース完了、FFI Stage は継続）"
"診断","診断","expected_tokens と recover 拡張の整合","差分レポートで `extensions.recover.expected_tokens` の差分がゼロ","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-6-重点監視フィールド","",""
"診断","診断","collect-iterator-audit-metrics.py の一致","`--section parser` と `--section effects` のメトリクスが誤差 0.5pt 以内；✅ 2027-11-07: OCaml 基準は `diagnostic.audit_presence_rate`=1.0（`domain/multi-domain.json.golden` 補完済み）。🆕 2027-11-09: `reports/dual-write/front-end/w4-diagnostics/20271107-w4-new/` で Rust recover 5 件＋ type/effect 1 件を収集し、parser/effects はログ取得成功、`--section streaming` が `parser.stream_extension_field_coverage < 1.0` で失敗（`DIAG-RUST-05` にてストリーミングケースを追加予定）。🆕 2027-11-12: 21 ケース全てで `parser_audit` が Rust 側 0.0（例: `reports/dual-write/front-end/w4-diagnostics/20271112-w4-diag-m1/recover_missing_semicolon/parser-metrics.rust.err.log`）となり、`extensions.parser.*` 未実装と CLI フラグ非適用が `metrics_ok=false` の主因と判明。🆕 2027-11-13: `scripts/poc_dualwrite_compare.sh` が `w4-diagnostic-cases.txt` の `#flags(.ocaml/.rust)` を CLI へ自動注入し、Type/Effect/FFI ケースには `--experimental-effects --effect-stage beta --type-row-mode dual-write` などを強制投入できるようになったため、次回ランでメトリクス一致を再評価予定。🆕 2028-01-15: `reports/dual-write/front-end/w4-diagnostics/20280115-w4-diag-refresh/*/parser-metrics.(ocaml|rust).err.log` で Streaming/CLI/Effect ケースが引き続き `parser.expected_summary_presence < 1.0` や JSON 未生成により `metrics_ok=false`（triage 参照）となり、`collect-iterator-audit-metrics.py` の前処理強化が必要。","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-5-dual-write-検証フロー","",""
"診断","診断","IndexMap 採用によるフィールド順序固定","Rust 側 JSON 直列化でキー順序が OCaml と一致","docs/plans/rust-migration/1-2-diagnostic-compatibility.md#1-2-7-rust-実装での設計指針","",""
"診断","診断","W4 diag ケースマトリクス整備","`appendix/w4-diagnostic-case-matrix.md` で Source/CLI/metrics 列を更新し、`w4-diagnostic-cases.txt` へ `#tests` / `#flags` / `#lsp-fixture` を付記。2027-11-12 時点で parser recover 5 件 + 他カテゴリ各 3 件が Ready（`poc_dualwrite_compare.sh --mode diag` と LSP フィクスチャが同一入力を共有）。🆕 2027-11-12: `reports/dual-write/front-end/w4-diagnostics/20271112-w4-diag-m1/summary.md` をケースマトリクスへ反映し、カテゴリごとの課題（Rust Recover 欠落、Streaming/CLI/LSP フラグ未適用、Effect/CAP 診断不足）を追記。🆕 2028-01-15: ケース単位の差分トリアージ（`reports/dual-write/front-end/w4-diagnostics/20280115-w4-diag-refresh/triage.md`）を作成し、`p1-front-end-checklists.csv` と `2-7-deferred-remediation.md` へリンク済み。","docs/plans/rust-migration/appendix/w4-diagnostic-case-matrix.md / docs/plans/rust-migration/appendix/w4-diagnostic-cases.txt","",""
